timestamp,temperature_real,masse_real
2026-04-02T10:49:09,34.51,44.9848
2026-04-02T10:49:14,34.42,44.9846
2026-04-02T10:49:19,34.56,44.9844
2026-04-02T10:49:24,34.45,44.9841
2026-04-02T10:49:29,34.53,44.9839
2026-04-02T10:49:34,34.41,44.9837
2026-04-02T10:49:39,34.51,44.9834
2026-04-02T10:49:44,34.46,44.9832
2026-04-02T10:49:49,34.59,44.983
2026-04-02T10:49:54,34.53,44.9827
2026-04-02T10:49:59,34.4,44.9825
2026-04-02T10:50:04,34.6,44.9823
2026-04-02T10:50:09,34.52,44.982
2026-04-02T10:50:14,34.57,44.9818
2026-04-02T10:50:19,34.55,44.9816
2026-04-02T10:50:24,34.41,44.9813
2026-04-02T10:50:29,34.45,44.9811
2026-04-02T10:50:34,34.43,44.9809
2026-04-02T10:50:39,34.49,44.9806
2026-04-02T10:50:44,34.49,44.9804
2026-04-02T10:50:49,34.46,44.9802
2026-04-02T10:50:54,34.6,44.9799
2026-04-02T10:50:59,34.53,44.9797
2026-04-02T10:51:04,34.49,44.9795
2026-04-02T10:51:09,34.57,44.9792
2026-04-02T10:51:14,34.49,44.979
2026-04-02T10:51:19,34.42,44.9788
2026-04-02T10:51:24,34.54,44.9785
2026-04-02T10:51:29,34.41,44.9783
2026-04-02T10:51:34,34.58,44.9781
2026-04-02T10:51:39,34.48,44.9778
2026-04-02T10:51:44,34.48,44.9776
2026-04-02T10:51:49,34.43,44.9774
2026-04-02T10:51:54,34.46,44.9771
2026-04-02T10:51:59,34.54,44.9769
2026-04-02T10:52:09,34.58,44.9764
2026-04-02T10:52:14,34.51,44.9762
2026-04-02T10:52:19,34.56,44.976
2026-04-02T10:52:29,34.5,44.9755
2026-04-02T10:52:34,34.59,44.9753
2026-04-02T10:52:39,34.47,44.9751
2026-04-02T10:52:44,34.53,44.9748
2026-04-02T10:52:49,34.49,44.9746
2026-04-02T10:52:54,34.43,44.9744
2026-04-02T10:52:59,34.48,44.9741
2026-04-02T10:53:04,34.51,44.9739
2026-04-02T10:53:09,34.43,44.9737
2026-04-02T10:53:14,34.5,44.9734
2026-04-02T10:53:24,34.59,44.973
2026-04-02T10:53:29,34.56,44.9727
2026-04-02T10:53:34,34.43,44.9725
2026-04-02T10:53:39,34.43,44.9723
2026-04-02T10:53:44,34.6,44.972
2026-04-02T10:53:49,34.52,44.9718
2026-04-02T10:53:54,34.45,44.9716
2026-04-02T10:53:59,34.44,44.9713
2026-04-02T10:54:04,34.4,44.9711
2026-04-02T10:54:09,34.43,44.9709
2026-04-02T10:54:14,34.45,44.9706
2026-04-02T10:54:19,34.44,44.9704
2026-04-02T10:54:29,34.59,44.9699
2026-04-02T10:54:34,34.43,44.9697
2026-04-02T10:54:39,34.58,44.9695
2026-04-02T10:54:44,34.47,44.9692
2026-04-02T10:54:49,34.48,44.969
2026-04-02T10:54:54,34.55,44.9688
2026-04-02T10:54:59,34.53,44.9685
2026-04-02T10:55:04,34.52,44.9683
2026-04-02T10:55:09,34.41,44.9681
2026-04-02T10:55:14,34.53,44.9678
2026-04-02T10:55:19,34.5,44.9676
2026-04-02T10:55:24,34.46,44.9674
2026-04-02T10:55:29,34.4,44.9671
2026-04-02T10:55:34,34.53,44.9669
2026-04-02T10:55:39,34.51,44.9667
2026-04-02T10:55:44,34.53,44.9664
2026-04-02T10:55:49,34.55,44.9662
2026-04-02T10:55:54,34.51,44.966
2026-04-02T10:55:59,34.48,44.9657
2026-04-02T10:56:04,34.4,44.9655
2026-04-02T10:56:09,34.42,44.9653
2026-04-02T10:56:14,34.6,44.965
2026-04-02T10:56:19,34.52,44.9648
2026-04-02T10:56:24,34.5,44.9646
2026-04-02T10:56:29,34.4,44.9643
2026-04-02T10:56:34,34.55,44.9641
2026-04-02T10:56:39,34.55,44.9639
2026-04-02T10:56:44,34.5,44.9636
2026-04-02T10:56:49,34.5,44.9634
2026-04-02T10:56:59,34.57,44.9629
2026-04-02T10:57:04,34.53,44.9627
2026-04-02T10:57:09,34.45,44.9625
2026-04-02T10:57:14,34.43,44.9622
2026-04-02T10:57:24,34.51,44.9618
2026-04-02T10:57:34,34.56,44.9613
2026-04-02T10:57:39,34.47,44.9611
2026-04-02T10:57:44,34.49,44.9608
2026-04-02T10:57:49,34.41,44.9606
2026-04-02T10:57:54,34.5,44.9604
