timestamp,temperature_real,masse_real,scenario
2026-04-02T19:24:24,35.49,33.7872,extreme
2026-04-02T19:24:34,35.24,33.7802,extreme
2026-04-02T19:24:49,35.9,33.7697,extreme
2026-04-02T19:24:59,35.58,33.7628,extreme
2026-04-02T19:25:09,35.41,33.7558,extreme
2026-04-02T19:25:14,35.11,33.7523,extreme
2026-04-02T19:25:19,35.57,33.7488,extreme
2026-04-02T19:25:24,35.43,33.7453,extreme
2026-04-02T19:25:29,35.17,33.7418,extreme
2026-04-02T19:25:39,35.72,33.7348,extreme
2026-04-02T19:25:49,35.26,33.7278,extreme
2026-04-02T19:25:54,35.54,33.7243,extreme
2026-04-02T19:25:59,35.75,33.7208,extreme
2026-04-02T19:26:04,35.54,33.7173,extreme
2026-04-02T19:26:19,35.97,33.7068,extreme
2026-04-02T19:26:23,34.57,33.9758,normal
2026-04-02T19:27:23,34.4,33.9755,normal
2026-04-02T19:28:23,34.48,33.9752,normal
2026-04-02T19:29:23,34.45,33.9749,normal
2026-04-02T19:31:23,34.49,33.9743,normal
2026-04-02T19:32:57,35.19,33.8903,extreme
2026-04-02T19:34:57,35.74,33.8064,extreme
2026-04-02T19:36:57,35.14,33.7224,extreme
